Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0253474,2012-12-30,2012-12-30,,"The Pianist","The Pianist",https://www.imdb.com/title/tt0253474/,Movie,8.5,150,2002,"Biography, Drama, Music, War",984645,2003-03-28,"Roman Polanski",,
2,tt2209418,2013-01-20,2013-01-20,,"Before Midnight","Before Midnight",https://www.imdb.com/title/tt2209418/,Movie,7.9,109,2013,"Drama, Romance",181831,2013-06-14,"Richard Linklater",,
3,tt1014762,2013-09-17,2013-09-17,,"Home","Home",https://www.imdb.com/title/tt1014762/,Movie,8.5,118,2009,"Documentary, Family",23362,2009-06-05,"Yann Arthus-Bertrand",,
4,tt0816442,2013-12-21,2013-12-21,,"The Book Thief","The Book Thief",https://www.imdb.com/title/tt0816442/,Movie,7.5,131,2013,"Drama, War",146067,2013-11-27,"Brian Percival",,
5,tt2316411,2014-02-15,2014-02-15,,"Enemy","Enemy",https://www.imdb.com/title/tt2316411/,Movie,6.9,91,2013,"Drama, Mystery, Thriller",231217,2014-02-06,"Denis Villeneuve",,
6,tt0105695,2014-03-01,2014-03-01,,"Unforgiven","Unforgiven",https://www.imdb.com/title/tt0105695/,Movie,8.2,130,1992,"Drama, Western",459992,1992-08-07,"Clint Eastwood",,
7,tt0314353,2014-06-30,2014-06-30,,"Tears of the Sun","Tears of the Sun",https://www.imdb.com/title/tt0314353/,Movie,6.6,121,2003,"Action, Drama, Thriller, War",135771,2003-03-07,"Antoine Fuqua",,
8,tt2545118,2014-07-16,2014-07-16,,"Blackfish","Blackfish",https://www.imdb.com/title/tt2545118/,Movie,8.1,83,2013,"Documentary, Drama, Thriller",75559,2013-07-26,"Gabriela Cowperthwaite",,
9,tt1972571,2014-07-22,2014-07-22,,"A Most Wanted Man","A Most Wanted Man",https://www.imdb.com/title/tt1972571/,Movie,6.7,122,2014,"Crime, Drama, Thriller",83504,2014-08-01,"Anton Corbijn",,
10,tt3597606,2015-02-02,2015-02-02,,"Dig","Dig",https://www.imdb.com/title/tt3597606/,TV Mini Series,6.8,60,2015,"Drama, Mystery, Thriller",6045,2015-03-05,,,
11,tt3077214,2015-06-09,2015-06-09,,"Suffragette","Suffragette",https://www.imdb.com/title/tt3077214/,Movie,6.9,106,2015,"Drama, History",45972,2015-10-12,"Sarah Gavron",,
12,tt3316948,2015-06-09,2015-06-09,,"American Ultra","American Ultra",https://www.imdb.com/title/tt3316948/,Movie,6.1,96,2015,"Action, Comedy",99189,2015-08-21,"Nima Nourizadeh",,
13,tt1355683,2015-06-09,2015-06-09,,"Black Mass","Black Mass",https://www.imdb.com/title/tt1355683/,Movie,6.8,123,2015,"Biography, Crime, Drama",199996,2015-09-18,"Scott Cooper",,
14,tt0056241,2015-10-14,2015-10-14,,"The Miracle Worker","The Miracle Worker",https://www.imdb.com/title/tt0056241/,Movie,8.1,106,1962,"Biography, Drama",21773,1962-07-28,"Arthur Penn",,
15,tt3076658,2015-12-15,2015-12-15,,"Creed","Creed",https://www.imdb.com/title/tt3076658/,Movie,7.6,133,2015,"Action, Drama, Sport",326967,2015-11-25,"Ryan Coogler",,
16,tt4179452,2015-12-17,2015-12-17,,"The Last Kingdom","The Last Kingdom",https://www.imdb.com/title/tt4179452/,TV Series,8.5,60,2015,"Action, Drama, History",181889,2015-10-10,,,
17,tt3865236,2015-12-17,2015-12-17,,"Into the Badlands","Into the Badlands",https://www.imdb.com/title/tt3865236/,TV Series,7.9,42,2015,"Action, Adventure, Drama, Fantasy",51994,2015-11-15,,,
18,tt0412080,2016-01-13,2016-01-13,,"The World's Fastest Indian","The World's Fastest Indian",https://www.imdb.com/title/tt0412080/,Movie,7.8,127,2005,"Biography, Drama, Sport",62593,2006-03-24,"Roger Donaldson",,
19,tt3991412,2016-07-02,2016-07-02,,"The 9th Life of Louis Drax","The 9th Life of Louis Drax",https://www.imdb.com/title/tt3991412/,Movie,6.3,108,2016,"Drama, Mystery, Thriller",15615,2016-09-02,"Alexandre Aja",,
20,tt2660888,2016-07-02,2016-07-02,,"Star Trek Beyond","Star Trek Beyond",https://www.imdb.com/title/tt2660888/,Movie,7.0,122,2016,"Action, Adventure, Sci-Fi, Thriller",266689,2016-07-22,"Justin Lin",,
21,tt3062096,2016-07-02,2016-07-02,,"Inferno","Inferno",https://www.imdb.com/title/tt3062096/,Movie,6.2,121,2016,"Action, Adventure, Crime, Drama, Mystery, Thriller",198437,2016-10-28,"Ron Howard",,
22,tt0108052,2016-07-02,2016-07-02,,"Schindler's List","Schindler's List",https://www.imdb.com/title/tt0108052/,Movie,9.0,195,1993,"Biography, Drama, History",1547057,1994-02-04,"Steven Spielberg",,
23,tt0050083,2016-07-02,2016-07-02,,"12 Angry Men","12 Angry Men",https://www.imdb.com/title/tt0050083/,Movie,9.0,96,1957,"Crime, Drama",949432,1957-04-10,"Sidney Lumet",,
24,tt1124037,2016-07-20,2016-07-20,,"Free State of Jones","Free State of Jones",https://www.imdb.com/title/tt1124037/,Movie,6.9,139,2016,"Action, Biography, Drama, History, War, Western",67126,2016-06-24,"Gary Ross",,
25,tt0168122,2016-08-21,2016-08-21,,"Pirates of Silicon Valley","Pirates of Silicon Valley",https://www.imdb.com/title/tt0168122/,TV Movie,7.2,95,1999,"Biography, Drama, History",25880,1999-06-20,"Martyn Burke",,
